name,type,source_id,source_label,target_id,target_label,transaction_date,value_date,amount,currency,status,exchange_rate,base_amount,base_currency,description
Paypal 2025-01-01,expense,Account3,KK-Konto,Paypal,Paypal,2025-01-01,2025-01-01,117.9,CHF,settled,1.0,117.9,CHF,
Amazon.com 2025-01-01,expense,Account3,KK-Konto,Amazon.com,Amazon.com,2025-01-01,2025-01-01,82.45,CHF,settled,1.0,82.45,CHF,
Paypal 2025-01-04,expense,Account3,KK-Konto,Paypal,Paypal,2025-01-04,2025-01-04,263.5,CHF,settled,1.0,263.5,CHF,
Ristorante & Pizzeria Da Rasso,expense,Account3,KK-Konto,Ristorante_Pizzeria_Da_Rasso,Ristorante & Pizzeria Da Rasso,2025-01-05,2025-01-05,95.0,CHF,settled,1.0,95.0,CHF,
Apple Online Store 2025-01-07,expense,Account3,KK-Konto,Apple_Online_Store,Apple Online Store,2025-01-07,2025-01-07,95.5,CHF,settled,1.0,95.5,CHF,
iTunes.com 2025-01-08,expense,Account3,KK-Konto,iTunes.com,iTunes.com,2025-01-08,2025-01-08,1.0,CHF,settled,1.0,1.0,CHF,
iTunes.com 2025-01-08 #2,expense,Account3,KK-Konto,iTunes.com,iTunes.com,2025-01-08,2025-01-08,15.0,CHF,settled,1.0,15.0,CHF,
Paypal 2025-01-10,expense,Account3,KK-Konto,Paypal,Paypal,2025-01-10,2025-01-10,212.95,CHF,settled,1.0,212.95,CHF,
Microsoft 2025-01-10,expense,Account3,KK-Konto,Microsoft,Microsoft,2025-01-10,2025-01-10,109.95,CHF,settled,1.0,109.95,CHF,
iTunes.com 2025-01-11,expense,Account3,KK-Konto,iTunes.com,iTunes.com,2025-01-11,2025-01-11,50.0,CHF,settled,1.0,50.0,CHF,
iTunes.com 2025-01-11 #2,income,iTunes.com,iTunes.com,Account3,KK-Konto,2025-01-11,2025-01-11,50.0,CHF,settled,1.0,50.0,CHF,
Apple Online Store 2025-01-13,expense,Account3,KK-Konto,Apple_Online_Store,Apple Online Store,2025-01-13,2025-01-13,84.75,CHF,settled,1.0,84.75,CHF,
Apple Online Store 2025-01-13 #2,expense,Account3,KK-Konto,Apple_Online_Store,Apple Online Store,2025-01-13,2025-01-13,95.5,CHF,settled,1.0,95.5,CHF,
Paypal 2025-01-13,expense,Account3,KK-Konto,Paypal,Paypal,2025-01-13,2025-01-13,43.45,CHF,settled,1.0,43.45,CHF,
Amazon.com 2025-01-14,expense,Account3,KK-Konto,Amazon.com,Amazon.com,2025-01-14,2025-01-14,50.85,CHF,settled,1.0,50.85,CHF,
Bestellung Amazon 2,expense,Account3,KK-Konto,Amazon,Amazon,2025-01-20,2025-01-20,46.96976052505031,EUR,settled,1.0,46.96976052505031,CHF,
iTunes.com 2025-01-20,expense,Account3,KK-Konto,iTunes.com,iTunes.com,2025-01-20,2025-01-20,3.0,CHF,settled,1.0,3.0,CHF,
Carlton Zürich Agloft 2025-01-22,expense,Account3,KK-Konto,Carlton_Zürich_Agloft,Carlton Zürich Agloft,2025-01-22,2025-01-22,84.5,CHF,settled,1.0,84.5,CHF,
Kreditkarten-Zahlung 2025-01-23,transfer,Account1,Privatkonto,Account3,KK-Konto,2025-01-23,2025-01-23,1355.3,CHF,settled,1.0,1355.3,CHF,
Aebercrombie 2025-01-24,expense,Account3,KK-Konto,Aebercrombie,Abercrombie & Fitch,2025-01-24,2025-01-24,69.35,CHF,settled,1.0,69.35,CHF,
Molino Zürich 2025-01-26,expense,Account3,KK-Konto,Molino_Zürich,Molino Zürich,2025-01-26,2025-01-26,48.1,CHF,settled,1.0,48.1,CHF,
"PIZZERIA & GRIL, Samedan 2025-01-28",expense,Account3,KK-Konto,"PIZZERIA_&_GRIL,_Samedan","Pizzeria & Grill, Samedan",2025-01-28,2025-01-28,242.4,CHF,settled,1.0,242.4,CHF,
Globus 2025-01-30,expense,Account3,KK-Konto,Globus,Globus,2025-01-30,2025-01-30,94.8,CHF,settled,1.0,94.8,CHF,
Teleboy 2025-02-03,expense,Account3,KK-Konto,Teleboy,Teleboy,2025-02-03,2025-02-03,8.5,CHF,settled,1.0,8.5,CHF,
Orell Füssli 2025-02-08,expense,Account3,KK-Konto,Orell_Füssli,Orell Füssli,2025-02-08,2025-02-08,16.9,CHF,settled,1.0,16.9,CHF,
iTunes.com 2025-02-08,expense,Account3,KK-Konto,iTunes.com,iTunes.com,2025-02-08,2025-02-08,1.0,CHF,settled,1.0,1.0,CHF,
Orell Füssli 2025-02-12,expense,Account3,KK-Konto,Orell_Füssli,Orell Füssli,2025-02-12,2025-02-12,16.9,CHF,settled,1.0,16.9,CHF,
Hügi Optik 2025-02-12,expense,Account3,KK-Konto,Hügi_Optik,Hügi Optik,2025-02-12,2025-02-12,268.0,CHF,settled,1.0,268.0,CHF,
Hügi Optik 2025-02-12 #2,expense,Account3,KK-Konto,Hügi_Optik,Hügi Optik,2025-02-12,2025-02-12,1265.0,CHF,settled,1.0,1265.0,CHF,
Hotel Waldhof 2025-02-16,expense,Account3,KK-Konto,Hotel_Waldhof,Hotel Waldhof,2025-02-16,2025-02-16,285.65,CHF,settled,1.0,285.65,CHF,
iTunes.com 2025-02-20,expense,Account3,KK-Konto,iTunes.com,iTunes.com,2025-02-20,2025-02-20,3.0,CHF,settled,1.0,3.0,CHF,
Paypal 2025-02-22,expense,Account3,KK-Konto,Paypal,Paypal,2025-02-22,2025-02-22,17.7,CHF,settled,1.0,17.7,CHF,
Kreditkarten-Zahlung 2025-02-23,transfer,Account1,Privatkonto,Account3,KK-Konto,2025-02-23,2025-02-23,2569.88,CHF,settled,1.0,2569.88,CHF,
Bestellung Amazon 2,expense,Account3,KK-Konto,Amazon,Amazon,2025-02-24,2025-02-24,122.68755884044641,EUR,settled,1.0,122.68755884044641,CHF,
Teleboy 2025-02-28,expense,Account3,KK-Konto,Teleboy,Teleboy,2025-02-28,2025-02-28,75.0,CHF,settled,1.0,75.0,CHF,
Apple Online Store 2025-03-02,expense,Account3,KK-Konto,Apple_Online_Store,Apple Online Store,2025-03-02,2025-03-02,109.0,CHF,settled,1.0,109.0,CHF,
Bestellung Amazon 2,expense,Account3,KK-Konto,Amazon,Amazon,2025-03-03,2025-03-03,52.7992453246534,EUR,settled,1.0,52.7992453246534,CHF,
iTunes.com 2025-03-05,expense,Account3,KK-Konto,iTunes.com,iTunes.com,2025-03-05,2025-03-05,1.0,CHF,settled,1.0,1.0,CHF,
SBB CFF FSS Ticket Shop 2025-03-06,expense,Account3,KK-Konto,SBB_CFF_FSS_Ticket_Shop,SBB CFF FSS Ticket Shop,2025-03-06,2025-03-06,32.0,CHF,settled,1.0,32.0,CHF,
Aebercrombie 2025-03-06,expense,Account3,KK-Konto,Aebercrombie,Abercrombie & Fitch,2025-03-06,2025-03-06,149.95,CHF,settled,1.0,149.95,CHF,
