name,type,source_id,source_label,target_id,target_label,transaction_date,value_date,amount,currency,status,exchange_rate,base_amount,base_currency,description
Rent,expense,Account1,Privatkonto,Rent,Rent,2025-01-01,2025-01-01,1820.0,CHF,settled,1.0,1820.0,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-01-03,2025-01-03,13.25,CHF,settled,1.0,13.25,CHF,
Bestellung OrellFuessli,expense,Account1,Privatkonto,OrellFuessli,Orell Fuessli,2025-01-03,2025-01-03,47.85,CHF,settled,1.0,47.85,CHF,
Bestellung Digitec Galaxus 2025,expense,Account1,Privatkonto,Digitec_Galaxus,Digitec Galaxus,2025-01-05,2025-01-05,295.65,CHF,settled,1.0,295.65,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-01-06,2025-01-06,14.8,CHF,settled,1.0,14.8,CHF,
Bestellung OrellFuessli,expense,Account1,Privatkonto,OrellFuessli,Orell Fuessli,2025-01-08,2025-01-08,54.35,CHF,settled,1.0,54.35,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-01-09,2025-01-09,11.85,CHF,settled,1.0,11.85,CHF,
Mobile Subscription,expense,Account1,Privatkonto,MobileProvider,Mobile Provider,2025-01-10,2025-01-10,19.9,CHF,settled,1.0,19.9,CHF,
Netflix,expense,Account1,Privatkonto,Netflix,Netflix,2025-01-10,2025-01-10,20.9,CHF,settled,1.0,20.9,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-01-12,2025-01-12,13.7,CHF,settled,1.0,13.7,CHF,
Benzin 2025,expense,Account1,Privatkonto,CoopTankstelleTalgutZentrum,Coop Tankstelle Talgut Zentrum,2025-01-14,2025-01-14,36.5,CHF,settled,1.0,36.5,CHF,
Mittagessen Kantine Employer AG,expense,Account1,Privatkonto,KantineAG,Kantine AG,2025-01-15,2025-01-15,11.55,CHF,settled,1.0,11.55,CHF,
