name,type,source_id,source_label,target_id,target_label,transaction_date,value_date,amount,currency,status,exchange_rate,base_amount,base_currency,description
Bangkok Airways,expense,Account4,Revolut,Bangkok_Airways,Bangkok Airways,2026-01-01,2026-01-01,319.01,CHF,settled,1.0,319.01,CHF,
Zuri Restaurant,expense,Account4,Revolut,Zuri_Restaurant,Zuri Restaurant,2026-01-01,2026-01-01,36.41,CHF,settled,1.0,36.41,CHF,
7-Eleven,expense,Account4,Revolut,Seven_Eleven,7-Eleven,2026-01-01,2026-01-01,11.87,CHF,settled,1.0,11.87,CHF,
Indiagate Restaurant,expense,Account4,Revolut,Indiagate,Indiagate Restaurant,2026-01-01,2026-01-01,32.35,CHF,settled,1.0,32.35,CHF,
Google Kairosoft,expense,Account4,Revolut,Google_Play,Google Play,2026-01-02,2026-01-02,6.2,CHF,settled,1.0,6.2,CHF,
DoubleTree by Hilton,expense,Account4,Revolut,DoubleTree,DoubleTree by Hilton,2026-01-03,2026-01-03,45.59,CHF,settled,1.0,45.59,CHF,
Lomprayah High Speed,expense,Account4,Revolut,Lomprayah,Lomprayah High Speed,2026-01-03,2026-01-03,7.56,CHF,settled,1.0,7.56,CHF,
7-Eleven,expense,Account4,Revolut,Seven_Eleven,7-Eleven,2026-01-03,2026-01-03,20.06,CHF,settled,1.0,20.06,CHF,
Pgo,expense,Account4,Revolut,Pgo,Pgo,2026-01-04,2026-01-04,8.42,CHF,settled,1.0,8.42,CHF,
7-Eleven,expense,Account4,Revolut,Seven_Eleven,7-Eleven,2026-01-05,2026-01-05,31.48,CHF,settled,1.0,31.48,CHF,
Nintendo,expense,Account4,Revolut,Nintendo,Nintendo,2026-01-07,2026-01-07,59.9,CHF,settled,1.0,59.9,CHF,
Google Fsmobile,expense,Account4,Revolut,Google_Play,Google Play,2026-01-08,2026-01-08,4.99,CHF,settled,1.0,4.99,CHF,
U.S. Customs and Border Protection,expense,Account4,Revolut,US_CBP,U.S. Customs and Border Protection,2026-01-10,2026-01-10,32.33,CHF,settled,1.0,32.33,CHF,
WeatherPro,expense,Account4,Revolut,WeatherPro,WeatherPro,2026-01-11,2026-01-11,1,CHF,settled,1.0,1,CHF,
Grab,expense,Account4,Revolut,Grab,Grab,2026-01-11,2026-01-11,2.06,CHF,settled,1.0,2.06,CHF,
Grab,expense,Account4,Revolut,Grab,Grab,2026-01-11,2026-01-11,6.57,CHF,settled,1.0,6.57,CHF,
Grab,expense,Account4,Revolut,Grab,Grab,2026-01-11,2026-01-11,7.86,CHF,settled,1.0,7.86,CHF,
Bento Sushi,expense,Account4,Revolut,Bento_Sushi,Bento Sushi,2026-01-12,2026-01-12,46.24,CHF,settled,1.0,46.24,CHF,
Grab,expense,Account4,Revolut,Grab,Grab,2026-01-12,2026-01-12,2.57,CHF,settled,1.0,2.57,CHF,
Grab,expense,Account4,Revolut,Grab,Grab,2026-01-12,2026-01-12,21.4,CHF,settled,1.0,21.4,CHF,
Here Coffee and Eatery,expense,Account4,Revolut,Here_Coffee,Here Coffee and Eatery,2026-01-12,2026-01-12,7.7,CHF,settled,1.0,7.7,CHF,
Airalo,expense,Account4,Revolut,Airalo,Airalo,2026-01-12,2026-01-12,39.62,CHF,settled,1.0,39.62,CHF,
Bouddha Stupa Restaura,expense,Account4,Revolut,Bouddha_Stupa,Bouddha Stupa Restaurant,2026-01-16,2026-01-16,10.26,CHF,settled,1.0,10.26,CHF,
Trisara Restaurant An,expense,Account4,Revolut,Trisara,Trisara Restaurant,2026-01-16,2026-01-16,9.76,CHF,settled,1.0,9.76,CHF,
Google Xavier Liard,expense,Account4,Revolut,Google_Play,Google Play,2026-01-16,2026-01-16,8.99,CHF,settled,1.0,8.99,CHF,
Google Northgard,expense,Account4,Revolut,Google_Play,Google Play,2026-01-17,2026-01-17,7,CHF,settled,1.0,7,CHF,
